"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","SalePrice","Porch.SF","Tot.Bath","House.Age"
"20","RL",141,31770,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Other","CompShg","BrkFace","Plywood","Other",112,"TA","TA","CBlock","TA","Other","Other","BLQ",639,"Unf",0,441,1080,"GasA","Other","Y","SBrkr",1656,0,0,1656,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin","2","TA","TA","Other",210,62,0,0,0,0,"No","No fence","None",0,5,2010,215000,62,2,50
"20","Other",80,11622,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Other","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",468,"Other",144,270,882,"GasA","TA","Y","SBrkr",896,0,0,896,0,0,1,0,2,1,"TA",5,"Typ",0,"No fireplace","Attchd","Unf","Other","TA","TA","Y",140,0,0,0,120,0,"No","Other","None",0,6,2010,105000,120,1,49
"20","RL",81,14267,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Other","CompShg","Wd Sdng","Wd Sdng","Other",108,"TA","TA","CBlock","TA","TA","No","ALQ",923,"Unf",0,406,1329,"GasA","TA","Y","SBrkr",1329,0,0,1329,0,0,1,1,3,1,"Other",6,"Typ",0,"No fireplace","Attchd","Unf","Other","TA","TA","Y",393,36,0,0,0,0,"No","No fence","Other",12500,6,2010,172000,36,1.5,52
"20","RL",93,11160,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1968,1968,"Other","CompShg","BrkFace","BrkFace","None",0,"Other","TA","CBlock","TA","TA","No","ALQ",1065,"Unf",0,1045,2110,"GasA","Ex","Y","SBrkr",2110,0,0,2110,1,0,2,1,3,1,"Other",8,"Typ",2,"TA","Attchd","Fin","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,4,2010,244000,0,3.5,42
"60","RL",74,13830,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,137,928,"GasA","Other","Y","SBrkr",928,701,0,1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",212,34,0,0,0,0,"No","Other","None",0,3,2010,189900,34,2.5,12
"60","RL",78,9978,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","Other",20,"TA","TA","PConc","TA","TA","No","GLQ",602,"Unf",0,324,926,"GasA","Ex","Y","SBrkr",926,678,0,1604,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",360,36,0,0,0,0,"No","No fence","None",0,6,2010,195500,36,2.5,12
"120","RL",41,4920,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","Other","1Story",8,5,2001,2001,"Gable","CompShg","CemntBd","CmentBd","None",0,"Other","TA","PConc","Gd","TA","Other","GLQ",616,"Unf",0,722,1338,"GasA","Ex","Y","SBrkr",1338,0,0,1338,1,0,2,0,2,1,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","TA","TA","Y",0,0,170,0,0,0,"No","No fence","None",0,4,2010,213500,170,3,9
"120","RL",43,5005,"Pave","No alley","Other","Other","AllPub","Inside","Gtl","StoneBr","Norm","Norm","Other","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No","ALQ",263,"Unf",0,1017,1280,"GasA","Ex","Y","SBrkr",1280,0,0,1280,0,0,2,0,2,1,"Other",5,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,82,0,0,144,0,"No","No fence","None",0,1,2010,191500,226,2,18
"120","RL",39,5389,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","Other","1Story",8,5,1995,1996,"Gable","CompShg","CemntBd","CmentBd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",1180,"Unf",0,415,1595,"GasA","Ex","Y","SBrkr",1616,0,0,1616,1,0,2,0,2,1,"Other",5,"Typ",1,"TA","Attchd","RFn","2","TA","TA","Y",237,152,0,0,0,0,"No","No fence","None",0,3,2010,236500,152,3,14
"60","RL",60,7500,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,994,994,"GasA","Other","Y","SBrkr",1028,776,0,1804,0,0,2,1,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",140,60,0,0,0,0,"No","No fence","None",0,6,2010,189000,60,2.5,11
