"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Roof.Style","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Gr.Liv.Area","Bedroom.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Fence","SalePrice","Porch.SF","Tot.Bath","House.Age"
"20","RL",141,31770,"No alley","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",6,5,"Other","BrkFace","Plywood","Other",112,"TA","TA","CBlock","TA","Other","Other",441,1080,"Other","Y","SBrkr",1656,0,1656,3,"TA",7,"Typ",2,"Gd","Attchd","Fin","2","528","TA","TA","Other",210,"No fence",215000,62,2,50
"20","Other",80,11622,"No alley","Reg","Lvl","Inside","Gtl","NAmes","Other","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",270,882,"TA","Y","SBrkr",896,0,896,2,"TA",5,"Typ",0,"No fireplace","Attchd","Unf","Other","730","TA","TA","Y",140,"Other",105000,120,1,49
"20","RL",81,14267,"No alley","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",6,6,"Other","Wd Sdng","Wd Sdng","Other",108,"TA","TA","CBlock","TA","TA","No",406,1329,"TA","Y","SBrkr",1329,0,1329,3,"Other",6,"Typ",0,"No fireplace","Attchd","Unf","Other","312","TA","TA","Y",393,"No fence",172000,36,1.5,52
"20","RL",93,11160,"No alley","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",7,5,"Other","BrkFace","BrkFace","None",0,"Other","TA","CBlock","TA","TA","No",1045,2110,"Ex","Y","SBrkr",2110,0,2110,3,"Other",8,"Typ",2,"TA","Attchd","Fin","2","522","TA","TA","Y",0,"No fence",244000,0,3.5,42
"60","RL",74,13830,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No",137,928,"Other","Y","SBrkr",928,701,1629,3,"TA",6,"Typ",1,"TA","Attchd","Fin","2","482","TA","TA","Y",212,"Other",189900,34,2.5,12
"60","RL",78,9978,"No alley","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",6,6,"Gable","VinylSd","VinylSd","Other",20,"TA","TA","PConc","TA","TA","No",324,926,"Ex","Y","SBrkr",926,678,1604,3,"Other",7,"Typ",1,"Gd","Attchd","Fin","2","470","TA","TA","Y",360,"No fence",195500,36,2.5,12
"120","RL",41,4920,"No alley","Reg","Lvl","Inside","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","CemntBd","CmentBd","None",0,"Other","TA","PConc","Gd","TA","Other",722,1338,"Ex","Y","SBrkr",1338,0,1338,2,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","582","TA","TA","Y",0,"No fence",213500,170,3,9
"120","RL",43,5005,"No alley","Other","Other","Inside","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No",1017,1280,"Ex","Y","SBrkr",1280,0,1280,2,"Other",5,"Typ",0,"No fireplace","Attchd","RFn","2","506","TA","TA","Y",0,"No fence",191500,226,2,18
"120","RL",39,5389,"No alley","Other","Lvl","Inside","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","CemntBd","CmentBd","None",0,"Other","TA","PConc","Gd","TA","No",415,1595,"Ex","Y","SBrkr",1616,0,1616,2,"Other",5,"Typ",1,"TA","Attchd","RFn","2","608","TA","TA","Y",237,"No fence",236500,152,3,14
"60","RL",60,7500,"No alley","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No",994,994,"Other","Y","SBrkr",1028,776,1804,3,"Other",7,"Typ",1,"TA","Attchd","Fin","2","442","TA","TA","Y",140,"No fence",189000,60,2.5,11
