"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Roof.Style","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Pool.QC","Fence","Misc.Feature","Misc.Val","SalePrice","Porch.Sq.Feet","Tot.Bathrooms","House.Age"
20,"RL",141,31770,"No alley access","Other","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",6,5,"Other","BrkFace","Plywood","Other",112,"TA","TA","CBlock","TA","Other","Other","BLQ",639,"Unf",0,441,1080,"GasA","Other","Y","SBrkr",1656,0,0,1656,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,528,"TA","TA","Other",210,"No","No fence","No additional feature",0,215000,62,2,50
20,"Other",80,11622,"No alley access","Reg","Lvl","Inside","Gtl","NAmes","Other","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",468,"Other",144,270,882,"GasA","TA","Y","SBrkr",896,0,0,896,2,1,"TA",5,"Typ",0,"No fireplace","Attchd","Unf",1,730,"TA","TA","Y",140,"No","Other","No additional feature",0,105000,120,1,49
20,"RL",93,11160,"No alley access","Reg","Lvl","Other","Gtl","NAmes","Norm","1Fam","1Story",7,5,"Other","BrkFace","BrkFace","None",0,"Other","TA","CBlock","TA","TA","No","ALQ",1065,"Unf",0,1045,2110,"GasA","Ex","Y","SBrkr",2110,0,0,2110,3,1,"Other",8,"Typ",2,"TA","Attchd","Fin",2,522,"TA","TA","Y",0,"No","No fence","No additional feature",0,244000,0,3.5,42
60,"RL",78,9978,"No alley access","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",6,6,"Gable","VinylSd","VinylSd","Other",20,"TA","TA","PConc","TA","TA","No","GLQ",602,"Unf",0,324,926,"GasA","Ex","Y","SBrkr",926,678,0,1604,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin",2,470,"TA","TA","Y",360,"No","No fence","No additional feature",0,195500,36,2.5,12
120,"RL",43,5005,"No alley access","Other","Other","Inside","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No","ALQ",263,"Unf",0,1017,1280,"GasA","Ex","Y","SBrkr",1280,0,0,1280,2,1,"Other",5,"Typ",0,"No fireplace","Attchd","RFn",2,506,"TA","TA","Y",0,"No","No fence","No additional feature",0,191500,226,2,18
120,"RL",39,5389,"No alley access","Other","Lvl","Inside","Gtl","StoneBr","Norm","Other","1Story",8,5,"Gable","CemntBd","CmentBd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",1180,"Unf",0,415,1595,"GasA","Ex","Y","SBrkr",1616,0,0,1616,2,1,"Other",5,"Typ",1,"TA","Attchd","RFn",2,608,"TA","TA","Y",237,"No","No fence","No additional feature",0,236500,152,3,14
60,"RL",60,7500,"No alley access","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,994,994,"GasA","Other","Y","SBrkr",1028,776,0,1804,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin",2,442,"TA","TA","Y",140,"No","No fence","No additional feature",0,189000,60,2.5,11
60,"RL",75,10000,"No alley access","Other","Lvl","Other","Gtl","Gilbert","Norm","1Fam","Other",6,5,"Gable","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,763,763,"GasA","Other","Y","SBrkr",763,892,0,1655,3,1,"TA",7,"Typ",1,"TA","Attchd","Fin",2,440,"TA","TA","Y",157,"No","No fence","No additional feature",0,175900,84,2.5,16
60,"RL",63,8402,"No alley access","Other","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,789,789,"GasA","Other","Y","SBrkr",789,676,0,1465,3,1,"TA",7,"Typ",1,"Gd","Attchd","Fin",2,393,"TA","TA","Y",0,"No","No fence","No additional feature",0,180400,75,2.5,12
60,"RL",47,53504,"No alley access","Other","Other","Other","Other","StoneBr","Norm","1Fam","Other",8,5,"Other","CemntBd","Wd Shng","Other",603,"Other","TA","PConc","Gd","TA","Other","ALQ",1416,"Unf",0,234,1650,"GasA","Ex","Y","SBrkr",1690,1589,0,3279,4,1,"Other",12,"Other",1,"Gd","Other","Fin",3,841,"TA","TA","Y",503,"No","No fence","No additional feature",0,538000,246,4.5,7
