"","pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked"
"1",3,0,"Braund, Mr. Owen Harris","male",22,1,0,"A/5 21171",7.25,"","S"
"2",1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38,1,0,"PC 17599",71.2833,"C85","C"
"3",3,1,"Heikkinen, Miss. Laina","female",26,0,0,"STON/O2. 3101282",7.925,"","S"
"4",1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,1,0,"113803",53.1,"C123","S"
"5",3,0,"Allen, Mr. William Henry","male",35,0,0,"373450",8.05,"","S"
"6",3,0,"Moran, Mr. James","male",NA,0,0,"330877",8.4583,"","Q"
"7",1,0,"McCarthy, Mr. Timothy J","male",54,0,0,"17463",51.8625,"E46","S"
"8",3,0,"Palsson, Master. Gosta Leonard","male",2,3,1,"349909",21.075,"","S"
"9",3,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27,0,2,"347742",11.1333,"","S"
"10",2,1,"Nasser, Mrs. Nicholas (Adele Achem)","female",14,1,0,"237736",30.0708,"","C"
"11",3,1,"Sandstrom, Miss. Marguerite Rut","female",4,1,1,"PP 9549",16.7,"G6","S"
"12",1,1,"Bonnell, Miss. Elizabeth","female",58,0,0,"113783",26.55,"C103","S"
"13",3,0,"Saundercock, Mr. William Henry","male",20,0,0,"A/5. 2151",8.05,"","S"
"14",3,0,"Andersson, Mr. Anders Johan","male",39,1,5,"347082",31.275,"","S"
"15",3,0,"Vestrom, Miss. Hulda Amanda Adolfina","female",14,0,0,"350406",7.8542,"","S"
"16",2,1,"Hewlett, Mrs. (Mary D Kingcome) ","female",55,0,0,"248706",16,"","S"
"17",3,0,"Rice, Master. Eugene","male",2,4,1,"382652",29.125,"","Q"
"18",2,1,"Williams, Mr. Charles Eugene","male",NA,0,0,"244373",13,"","S"
"19",3,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,1,0,"345763",18,"","S"
"20",3,1,"Masselmani, Mrs. Fatima","female",NA,0,0,"2649",7.225,"","C"
"21",2,0,"Fynney, Mr. Joseph J","male",35,0,0,"239865",26,"","S"
"22",2,1,"Beesley, Mr. Lawrence","male",34,0,0,"248698",13,"D56","S"
"23",3,1,"McGowan, Miss. Anna ""Annie""","female",15,0,0,"330923",8.0292,"","Q"
"24",1,1,"Sloper, Mr. William Thompson","male",28,0,0,"113788",35.5,"A6","S"
"25",3,0,"Palsson, Miss. Torborg Danira","female",8,3,1,"349909",21.075,"","S"
"26",3,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38,1,5,"347077",31.3875,"","S"
"27",3,0,"Emir, Mr. Farred Chehab","male",NA,0,0,"2631",7.225,"","C"
"28",1,0,"Fortune, Mr. Charles Alexander","male",19,3,2,"19950",263,"C23 C25 C27","S"
"29",3,1,"O'Dwyer, Miss. Ellen ""Nellie""","female",NA,0,0,"330959",7.8792,"","Q"
"30",3,0,"Todoroff, Mr. Lalio","male",NA,0,0,"349216",7.8958,"","S"
"31",1,0,"Uruchurtu, Don. Manuel E","male",40,0,0,"PC 17601",27.7208,"","C"
"32",1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)","female",NA,1,0,"PC 17569",146.5208,"B78","C"
"33",3,1,"Glynn, Miss. Mary Agatha","female",NA,0,0,"335677",7.75,"","Q"
"34",2,0,"Wheadon, Mr. Edward H","male",66,0,0,"C.A. 24579",10.5,"","S"
"35",1,0,"Meyer, Mr. Edgar Joseph","male",28,1,0,"PC 17604",82.1708,"","C"
"36",1,0,"Holverson, Mr. Alexander Oskar","male",42,1,0,"113789",52,"","S"
"37",3,1,"Mamee, Mr. Hanna","male",NA,0,0,"2677",7.2292,"","C"
"38",3,0,"Cann, Mr. Ernest Charles","male",21,0,0,"A./5. 2152",8.05,"","S"
"39",3,0,"Vander Planke, Miss. Augusta Maria","female",18,2,0,"345764",18,"","S"
"40",3,1,"Nicola-Yarred, Miss. Jamila","female",14,1,0,"2651",11.2417,"","C"
"41",3,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",40,1,0,"7546",9.475,"","S"
"42",2,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","female",27,1,0,"11668",21,"","S"
"43",3,0,"Kraeff, Mr. Theodor","male",NA,0,0,"349253",7.8958,"","C"
"44",2,1,"Laroche, Miss. Simonne Marie Anne Andree","female",3,1,2,"SC/Paris 2123",41.5792,"","C"
"45",3,1,"Devaney, Miss. Margaret Delia","female",19,0,0,"330958",7.8792,"","Q"
"46",3,0,"Rogers, Mr. William John","male",NA,0,0,"S.C./A.4. 23567",8.05,"","S"
"47",3,0,"Lennon, Mr. Denis","male",NA,1,0,"370371",15.5,"","Q"
"48",3,1,"O'Driscoll, Miss. Bridget","female",NA,0,0,"14311",7.75,"","Q"
"49",3,0,"Samaan, Mr. Youssef","male",NA,2,0,"2662",21.6792,"","C"
"50",3,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",18,1,0,"349237",17.8,"","S"
"51",3,0,"Panula, Master. Juha Niilo","male",7,4,1,"3101295",39.6875,"","S"
"52",3,0,"Nosworthy, Mr. Richard Cater","male",21,0,0,"A/4. 39886",7.8,"","S"
"53",1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",49,1,0,"PC 17572",76.7292,"D33","C"
"54",2,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",29,1,0,"2926",26,"","S"
"55",1,0,"Ostby, Mr. Engelhart Cornelius","male",65,0,1,"113509",61.9792,"B30","C"
"56",1,1,"Woolner, Mr. Hugh","male",NA,0,0,"19947",35.5,"C52","S"
"57",2,1,"Rugg, Miss. Emily","female",21,0,0,"C.A. 31026",10.5,"","S"
"58",3,0,"Novel, Mr. Mansouer","male",28.5,0,0,"2697",7.2292,"","C"
"59",2,1,"West, Miss. Constance Mirium","female",5,1,2,"C.A. 34651",27.75,"","S"
"60",3,0,"Goodwin, Master. William Frederick","male",11,5,2,"CA 2144",46.9,"","S"
"61",3,0,"Sirayanian, Mr. Orsen","male",22,0,0,"2669",7.2292,"","C"
"62",1,1,"Icard, Miss. Amelie","female",38,0,0,"113572",80,"B28",NA
