     x      y.yesterday    y.tomorrow
 0.5000000 0.4269584 0.4468527
 0.5862069 0.4841696 0.4769383
 0.6724138 0.4957393 0.5109149
 0.7586207 0.5438164 0.5130406
 0.8448276 0.5379404 0.5231111
 0.9310345 0.5375140 0.5526467
 1.0172414 0.5401231 0.5371602
 1.1034483 0.5447002 0.5485324
 1.1896552 0.5453667 0.5446904
 1.2758621 0.5337212 0.5325971
 1.3620690 0.5360551 0.5432252
 1.4482759 0.5482129 0.5316430
 1.5344828 0.5277309 0.5189950
 1.6206897 0.5032543 0.5243238
 1.7068966 0.5094058 0.5277170
 1.7931034 0.5049205 0.5028689
 1.8793103 0.5224972 0.5274091
 1.9655172 0.5278002 0.5019069
 2.0517241 0.5249105 0.5037381
 2.1379310 0.5106958 0.5030663
 2.2241379 0.5027985 0.4993774
 2.3103448 0.4895309 0.5153410
 2.3965517 0.5117247 0.5086377
 2.4827586 0.5131897 0.5068553
 2.5689655 0.4986823 0.4912001
 2.6551724 0.5110766 0.5021926
 2.7413793 0.5056585 0.4991626
 2.8275862 0.5105358 0.5171174
 2.9137931 0.5070443 0.4961093
 3.0000000 0.5104864 0.5025881

